jac,verdict,origin_issue,characterization
0.5833333333333334,L3,"whether, absent federal occupation of the field, Act 144 violates the Commerce Clause","(""Because we have concluded that Act 144 is pre-empted by the NGA, we need not decide whether, absent federal occupation of the field, Act 144 violates the Commerce Clause.”)."
0.5416666666666666,L0,"whether the decree of the District Court, entered during the lifetime of Sophie Franz, the life tenant, in this suit to which she, her trustees and the remaindermen were parties, can be regarded as binding upon the State of Missouri with respect to its subsequent",", 21) also: “Wo express no opinion upon the question whether the decree of the District Court, entered during the lifetime of Sophie Franz, the life tenant, in this suit to which she, her trustees, an"
0.5,L0,"the circumstances in which an accused's request for counsel may be *100 characterized as ambiguous or equivocal as a result of events preceding the request or of nuances inherent in the request itself, nor do",(reserving the question whether “an accused’s request for counsel may be characterized as ambiguous or equivocal as a result of events preceding the request”). The court highlighted the following col
0.5,L0,"the circumstances in which an accused’s request for counsel may be *100 characterized as ambiguous or equivocal as a result of events preceding the request or of nuances inherent in the request itself, nor do",(reserving the question whether “an accused’s request for counsel may be characterized as ambiguous or equivocal as a result of events preceding the request”). The court highlighted the following col
0.4666666666666667,L0,whether a finding of excessive force would not “imply the invalidity” of his conviction for resisting a search,", 95 (1995), we assumed without deciding that a successful excessive force claim would not imply the invalidity of a conviction for resisting a search. In Hudson v. Hughes, 98 F.3d at 872-73, we"
0.45,L3,"the scope of Mezei; it does not govern this case, for Plasencia was absent from the country only a few days, and the United States has conceded that she has a right to due process, Tr. of Oral Arg. 6, 9, 14","(holding that Mezei “did not suggest that no returning resident alien has a right to due process,” and that “it does not govern this case, for Plasencia was absent from the country only a few d"
0.4444444444444444,L3,a claim for personal injury by a water skier against the allegedly negligent operator of the tow boat,", we held that a claim of damages for personal injury by a water skier against the operator of the tow boat was without the admiralty jurisdiction. More recently, however, we have held that other cont"
0.35714285714285715,L0,whether a prosecutor cannot make nonevidentiary use of immunized testimony,", 856 (assuming without deciding that a prosecutor cannot make non-evidentiary use of immunized testimony), modified, 920 F.2d 940 (D.C.Cir.1990) (en banc), cert. denied, 500 U.S. 941, 111 S.Ct. 2235,"
0.35714285714285715,L0,Whether the summons was invalid because not issued by the Collector is a question upon,", the court states that it is expressing no opinion upon whether the summons was invalid because not issued by a collector. In re Wolrich, D.C.S.D.N.Y., 84 F.Supp. 481, enforces the Commissioner’s sum"
0.35,L3,"whether such speech in the abstract is indeed merely ""commercial,"" we do not believe that the speech retains its commercial character when it is inextricably intertwined with otherwise fully protected speech","(holding that even assuming, arguendo, that charitable solicitations were “in the abstract ... merely ‘commercial,’ we do not believe that the speech retains its commercial character when it is inext"
