model,context,split,n,acc,macro_f1,f1_unresolved
Qwen2.5-1.5B-Instruct,SENT,TEST,104,0.8461538461538461,0.8087356321839081,0.8933333333333333
Qwen2.5-1.5B-Instruct,SENT,TEMPORAL,36,0.7222222222222222,0.6296296296296295,0.8148148148148148
Qwen2.5-1.5B-Instruct,SENT,COURT,46,0.9130434782608695,0.8973214285714286,0.9375
Qwen2.5-1.5B-Instruct,W256,TEST,104,0.7307692307692307,0.6313924050632912,0.8227848101265823
Qwen2.5-1.5B-Instruct,W256,TEMPORAL,36,0.7222222222222222,0.5982142857142857,0.8214285714285714
Qwen2.5-1.5B-Instruct,W256,COURT,46,0.782608695652174,0.6805555555555556,0.8611111111111112
Qwen2.5-1.5B-Instruct,W1024,TEST,104,0.7403846153846154,0.6805824138323285,0.8187919463087249
Qwen2.5-1.5B-Instruct,W1024,TEMPORAL,36,0.8333333333333334,0.8036363636363637,0.88
Qwen2.5-1.5B-Instruct,W1024,COURT,46,0.7608695652173914,0.681159420289855,0.8405797101449275
Qwen2.5-1.5B-Instruct,W4096,TEST,104,0.5288461538461539,0.5159114657547259,0.5950413223140496
Qwen2.5-1.5B-Instruct,W4096,TEMPORAL,36,0.5277777777777778,0.5274131274131274,0.5405405405405406
Qwen2.5-1.5B-Instruct,W4096,COURT,46,0.6304347826086957,0.6157248157248157,0.6909090909090909
