group,item_id,stratum,court,year,gold,lexical,issue,passage
dictionary misled,542283-1,H1,cadc,1990,DECIDED,UNRESOLVED,"whether the district court abused its discretion in ruling that Matarazzo’s grand jury testimony could not be admitted into evidence, once the court had ruled that Matarazzo had a valid privilege not ","68 request in terms that were adequate to alert the district judge to the legal basis for their proposed admission. Cf. United States v. Pugliese, 712 F.2d 1574, 1580 (2d Cir.1983); Fed.R.Crim.P. 51. That was all that was necessary for appellants to p [[reserve for appeal the issue]] whether the district court abused its discretion in ruling that Matarazzo’s grand jury testimony could not be admitted into evidence, once the court had ruled that Matarazzo had a valid privilege not to testify at trial. Particularly in light of the prosecutor’s contemptuous objection to counsel’s"
dictionary misled,585779-0,H1,ca1,1992,DECIDED,UNRESOLVED,for appeal; b) the Fund waived its challenge to venue; and c) the district of New Hampshire was the proper venue. 3,"e 10 In a prior order entered on April 30, 1991, the district court denied the Fund's motion to dismiss for improper venue. On appeal the Fund also challenges the propriety of that order. MKF on the other hand claims that a) the Fund failed to properly p [[reserve the issue]] for appeal; b) the Fund waived its challenge to venue; and c) the district of New Hampshire was the proper venue. 3 11 MKF filed its complaint on July 6, 1990. The complaint was served by mail and received by the Fund on July 11, 1990. In the interim alleged consultations had begun betwee"
dictionary misled,391083-1,H2,ca5,1981,DECIDED,UNRESOLVED,"of creditor liability, that claim, along with the claim of assignee liability, was necessarily submitted for judgment on the facts as they were then established","dgment for the Bank. 6 Plaintiffs argue that summary judgment was sought on a distinct theory of liability, that of assignee liability, reserving by implication the issue of the Bank's liability as an original creditor. The Bank argues that, by not explicitly [[reserving the issue]] of creditor liability, that claim, along with the claim of assignee liability, was necessarily submitted for judgment on the facts as they were then established. Both parties look to the letter in support of their position, although both sides find it necessary to add words to the letter in order t"
dictionary misled,2708641-0,PLAIN,ca7,2014,DECIDED,UNRESOLVED,whether he may proceed directly under § 1981,"981 that could not have occurred before the Civil Rights Act of 1991 amended that statute. Thus, one might argue that § 1658’s four‐year statute of limitations should apply regardless. However, Campbell has disavowed any reliance on § 1983; therefore, we [[express no opinion]] on that issue, and we turn to whether he may proceed directly under § 1981. The statute now codified at 42 U.S.C. § 1981 evolved from § 1 of the Civil Rights Act of 1866. Jones, 541 U.S. at 372. “It was amended in minor respects in 1870 and recodified in 1874, but its basic coverage did not c"
dictionary misled,6496267-0,H2,ca10,2022,DECIDED,UNRESOLVED,"for appeal, a party must “alert[] the district court","and underdeveloped terms—especially compared to its briefing on its lost profits damages and unjust enrichment theories. Providing generic and underdeveloped theories before us in written briefing does not preserve such theories and argumentation. To p [[reserve an issue]] for appeal, a party must “alert[] the district court to the issue and seek[] a ruling”—“[a] party does not preserve an issue merely by . . . presenting [it] to the district court in a ‘vague and ambiguous’ manner,” or “by making a ‘fleeting contention’ before the district court.” U.S. Aviatio"
dictionary misled,4283538-0,H1,ca11,2018,DECIDED,UNRESOLVED,"the claimant’s] third argument, that the ALJ should not have relied on the testimony of a vocational expert, because he did not raise it before the administrative agency or the district court","orm light work. 1 1 Adderly has waived his argument that the ALJ should not have relied on a vocational expert’s testimony because he did not properly raise that argument in the district court. See Kelley v. Apfel, 185 F.3d 1211, 1215 (11th Cir. 1999) (“We [[do not reach]] [the claimant’s] third argument, that the ALJ should not have relied on the testimony of a vocational expert, because he did not raise it before the administrative agency or the district court.”); In re Pan Am. World Airways, Inc., Maternity Leave Practices & Flight Attendant Weight Program Litig.,"
dictionary misled,9960726-0,H1,ca4,2024,DECIDED,UNRESOLVED,"in a magistrate judge’s report, a party must object to the finding","filed timely objections to the magistrate judge’s recommendation, his objections were not specific to the particularized legal recommendations made by the magistrate judge, so appellate review is foreclosed. See Martin, 858 F.3d at 245 (holding that, “to p [[reserve for appeal an issue]] in a magistrate judge’s report, a party must object to the finding or recommendation on that issue with sufficient specificity so as reasonably to alert the district court of the true ground for the objection” (internal quotation marks omitted)). Accordingly, we affirm the judgment of the dis"
dictionary misled,1550847-0,PLAIN,ca4,1940,DECIDED,UNRESOLVED,whether the applicability of § 203(b) (3) upon which the Commissioner now relies,"h. It should be noticed first that the principle of res adjudicata may not be invoked because the parties before the court at this time are not the same as those who were in the former case. Moreover, our prior decision was limited to a single point, and we [[expressed no opinion]] as to the applicability of § 203(b) (3) upon which the Commissioner now relies. In the former case the argument of the parties was directed and limited to § 203 (b) (4) and § 204(a) (8). § 203(b) (4) is as follows: ""No gain or loss shall be recognized if property is transferred to a corporation by"
dictionary misled,4675313-0,H2,ca11,2021,DECIDED,UNRESOLVED,whether Winn-Dixie’s website is a public,"nch trial, the district court entered judgment in favor of Gil, finding that Winn-Dixie had violated Gil’s rights under Title III of the ADA. Gil v. Winn-Dixie Stores, Inc., 257 F. Supp. 3d 1340 (S.D. Fla. 2017). Specifically, the court noted again that it [[need not decide]] whether Winn-Dixie’s website is a public accommodation “in and of itself,” because the website is “heavily integrated” with Winn-Dixie’s physical stores—so much so that it “operates as a gateway to the 5 All of Gil’s pleadings leading up to trial focused solely on his inability to access the pr"
dictionary misled,286579-1,H2,ca1,1969,DECIDED,UNRESOLVED,"whether it was error to submit 'specific questions of fact' to be answered by a jury in a criminal case, held that the court's submission in that particular instance over the defendants' objection had","S.Ct. 874, 91 L.Ed. 1145; Cramer v. United States, 1945, 325 U.S. 1, 36 n. 45, 65 S.Ct. 918, 89 L.Ed. 1441 41A Since the release of this opinion our attention has been called to the case of Commonwealth v. Bartholomew, 1950, 326 Mass. 218. There the court, [[without deciding]] whether it was error to submit 'specific questions of fact' to be answered by a jury in a criminal case, held that the court's submission in that particular instance over the defendants' objection had not been prejudicial. In passing we will say that this was a finding more easily reached there tha"
