model,context,split,n,acc,macro_f1,f1_unresolved
legal-bert-base-uncased,SENT,TEST,104,0.8942307692307693,0.8839167935058345,0.9185185185185185
legal-bert-base-uncased,SENT,TEMPORAL,36,0.8888888888888888,0.8690909090909091,0.92
legal-bert-base-uncased,SENT,COURT,46,0.9782608695652174,0.9748221127531472,0.9841269841269841
legal-bert-base-uncased,W256,TEST,104,0.40384615384615385,0.3572567783094099,0.18421052631578946
legal-bert-base-uncased,W256,TEMPORAL,36,0.3888888888888889,0.3377926421404682,0.15384615384615385
legal-bert-base-uncased,W256,COURT,46,0.32608695652173914,0.2459016393442623,0.0
legal-bert-base-uncased,W1024,TEST,104,0.6538461538461539,0.6454545454545455,0.7
legal-bert-base-uncased,W1024,TEMPORAL,36,0.6388888888888888,0.6017021276595744,0.723404255319149
legal-bert-base-uncased,W1024,COURT,46,0.6086956521739131,0.5964912280701754,0.6666666666666666
legal-bert-base-uncased,W4096,TEST,104,0.6923076923076923,0.6448997012377293,0.7746478873239436
legal-bert-base-uncased,W4096,TEMPORAL,36,0.75,0.7242553191489361,0.8085106382978723
legal-bert-base-uncased,W4096,COURT,46,0.6739130434782609,0.6351136964569011,0.7540983606557377
distilroberta-base,SENT,TEST,104,0.9038461538461539,0.8907563025210083,0.9285714285714286
distilroberta-base,SENT,TEMPORAL,36,0.9166666666666666,0.8991596638655461,0.9411764705882353
distilroberta-base,SENT,COURT,46,0.9565217391304348,0.9486607142857143,0.96875
distilroberta-base,W256,TEST,104,0.8942307692307693,0.88531328320802,0.9172932330827067
distilroberta-base,W256,TEMPORAL,36,0.8611111111111112,0.8468085106382979,0.8936170212765957
distilroberta-base,W256,COURT,46,0.8913043478260869,0.8783712321523004,0.9180327868852459
distilroberta-base,W1024,TEST,104,0.6730769230769231,0.47380952380952385,0.7976190476190477
distilroberta-base,W1024,TEMPORAL,36,0.6666666666666666,0.4,0.8
distilroberta-base,W1024,COURT,46,0.6956521739130435,0.47039473684210525,0.8157894736842105
distilroberta-base,W4096,TEST,104,0.7115384615384616,0.5676274944567627,0.8170731707317073
distilroberta-base,W4096,TEMPORAL,36,0.6388888888888888,0.4526315789473684,0.7719298245614035
distilroberta-base,W4096,COURT,46,0.7391304347826086,0.6166666666666667,0.8333333333333334
