item_id,stratum,sent_code,full_code,sent_bin,full_bin,agree
264655-0,PLAIN,A,A,U,U,True
2972885-0,H1,X,X,X,X,True
315722-0,H1,A,A,U,U,True
c9423471-0,CTRL_HOLD,D,D,D,D,True
c455983-0,CTRL_HOLD,D,D,D,D,True
769389-0,H1,A,A,U,U,True
411423-0,H1,X,D,X,D,False
932059-2,PLAIN,A,A,U,U,True
432066-0,H1,A,A,U,U,True
9394447-0,H2,A,A,U,U,True
2511566-0,H1,A,A,U,U,True
2837800-0,H2,A,A,U,U,True
627509-0,H1,X,X,X,X,True
76043-0,PLAIN,A,A,U,U,True
396563-1,H1,X,A,X,U,False
9001894-2,H1,A,A,U,U,True
228516-0,H2,S,S,U,U,True
9453371-1,PLAIN,A,A,U,U,True
2975900-0,PLAIN,A,A,U,U,True
3041089-0,H2,S,S,U,U,True
217956-0,PLAIN,A,A,U,U,True
c2976911-0,CTRL_HOLD,D,D,D,D,True
c8409454-1,CTRL_HOLD,X,D,X,D,False
202878-0,H2,A,A,U,U,True
8882596-0,H2,A,A,U,U,True
6838739-0,H1,A,A,U,U,True
9001962-0,PLAIN,X,X,X,X,True
187044-0,PLAIN,A,A,U,U,True
200620-0,H2,A,A,U,U,True
2791509-1,H1,X,X,X,X,True
3064168-1,PLAIN,A,A,U,U,True
