model,context,split,n,acc,macro_f1,f1_unresolved
Qwen2.5-1.5B-Instruct,SENT,TEST,104,0.8461538461538461,0.8087356321839081,0.8933333333333333
Qwen2.5-1.5B-Instruct,SENT,TEMPORAL,36,0.75,0.653475935828877,0.8363636363636363
Qwen2.5-1.5B-Instruct,SENT,COURT,46,0.8913043478260869,0.8689458689458689,0.9230769230769231
Qwen2.5-1.5B-Instruct,W256,TEST,104,0.7211538461538461,0.6128866640996021,0.8176100628930818
Qwen2.5-1.5B-Instruct,W256,TEMPORAL,36,0.7222222222222222,0.5982142857142857,0.8214285714285714
Qwen2.5-1.5B-Instruct,W256,COURT,46,0.7608695652173914,0.6351838500360489,0.8493150684931506
Qwen2.5-1.5B-Instruct,W1024,TEST,104,0.7307692307692307,0.6578947368421053,0.8157894736842105
Qwen2.5-1.5B-Instruct,W1024,TEMPORAL,36,0.8333333333333334,0.8036363636363637,0.88
Qwen2.5-1.5B-Instruct,W1024,COURT,46,0.7391304347826086,0.6415584415584416,0.8285714285714286
Qwen2.5-1.5B-Instruct,W4096,TEST,104,0.5096153846153846,0.4961527500712454,0.5785123966942148
Qwen2.5-1.5B-Instruct,W4096,TEMPORAL,36,0.5833333333333334,0.5804195804195804,0.6153846153846154
Qwen2.5-1.5B-Instruct,W4096,COURT,46,0.6304347826086957,0.6157248157248157,0.6909090909090909
